colony_id,species,Temp.Cat,Run,Date,notes
Past-A1,Porites astreoides,29,1,20220806,
Dlab-B1,Diploria labyrinthiformis,29,1,20220806,
Mdec-B1,Madracis decactis,29,1,20220806,
Mdec-A1,Madracis decactis,29,1,20220806,
BK-1,Blank,29,1,20220806,
Mcav-B1,Montastraea cavernosa,29,1,20220806,
Dlab-A1,Diploria labyrinthiformis,29,1,20220806,
Mcav-A1,Montastraea cavernosa,29,1,20220806,
Mdec-D1,Madracis decactis,29,2,20220808,
Mcav-C1,Montastraea cavernosa,29,2,20220808,
Past-D1,Porites astreoides,29,2,20220808,
Dlab-D1,Diploria labyrinthiformis,29,2,20220808,
Past-C1,Porites astreoides,29,2,20220808,
Mcav-D1,Montastraea cavernosa,29,2,20220808,
Mdec-C1,Madracis decactis,29,2,20220808,
BK-2,Blank,29,2,20220808,
Mdec-F1,Madracis decactis,29,3,20220808,
Dlab-F1,Diploria labyrinthiformis,29,3,20220808,
Past-E1,Porites astreoides,29,3,20220808,
Mcav-E1,Montastraea cavernosa,29,3,20220808,
Dlab-E1,Diploria labyrinthiformis,29,3,20220808,
Past-F1,Porites astreoides,29,3,20220808,
Mcav-F1,Montastraea cavernosa,29,3,20220808,
Mdec-E1,Madracis decactis,29,3,20220808,
Dlab-B2,Diploria labyrinthiformis,40,4,20220809,
BK-3,Blank,40,4,20220809,
Past-B2,Porites astreoides,40,4,20220809,
Mdec-A2,Madracis decactis,40,4,20220809,
Mcav-A2,Montastraea cavernosa,40,4,20220809,
Mcav-B2,Montastraea cavernosa,40,4,20220809,
Past-A2,Porites astreoides,40,4,20220809,
Dlab-A2,Diploria labyrinthiformis,40,4,20220809,
Past-D2,Porites astreoides,40,5,20220809,
Dlab-C2,Diploria labyrinthiformis,40,5,20220809,
Dlab-E2,Diploria labyrinthiformis,40,5,20220809,
Mcav-F2,Montastraea cavernosa,40,5,20220809,
Mcav-C2,Montastraea cavernosa,40,5,20220809,
Mdec-F2,Madracis decactis,40,5,20220809,
Mdec-D2,Madracis decactis,40,5,20220809,
Past-E2,Porites astreoides,40,5,20220809,
Past-C2,Porites astreoides,40,6,20220809,
Mdec-C2,Madracis decactis,40,6,20220809,
Mcav-E2,Montastraea cavernosa,40,6,20220809,
Dlab-D2,Diploria labyrinthiformis,40,6,20220809,
Mdec-E2,Madracis decactis,40,6,20220809,
Mcav-D2,Montastraea cavernosa,40,6,20220809,
Past-F2,Porites astreoides,40,6,20220809,
Dlab-F2,Diploria labyrinthiformis,40,6,20220809,
BK-4,Blank,33,7,20220810,
Past-A3,Porites astreoides,33,7,20220810,
Dlab-D3,Diploria labyrinthiformis,33,7,20220810,
Past-C3,Porites astreoides,33,7,20220810,
Mcav-C3,Montastraea cavernosa,33,7,20220810,
Dlab-A3,Diploria labyrinthiformis,33,7,20220810,
Mdec-A3,Madracis decactis,33,7,20220810,
Mdec-F3,Madracis decactis,33,7,20220810,
Past-B3,Porites astreoides,33,8,20220810,
Mdec-B3,Madracis decactis,33,8,20220810,
Mcav-E3,Montastraea cavernosa,33,8,20220810,
Dlab-B3,Diploria labyrinthiformis,33,8,20220810,
Dlab-E3,Diploria labyrinthiformis,33,8,20220810,
Past-F3,Porites astreoides,33,8,20220810,
Mdec-E3,Madracis decactis,33,8,20220810,
Mcav-D3,Montastraea cavernosa,33,8,20220810,
Past-D3,Porites astreoides,33,9,20220810,
Mdec-C3,Madracis decactis,33,9,20220810,
Past-E3,Porites astreoides,33,9,20220810,
Mcav-F3,Montastraea cavernosa,33,9,20220810,
Mdec-D3,Madracis decactis,33,9,20220810,
Mcav-A3,Montastraea cavernosa,33,9,20220810,
Dlab-C3,Diploria labyrinthiformis,33,9,20220810,
Dlab-F3,Diploria labyrinthiformis,33,9,20220810,
