Date,Temp.Cat,Run,species,colony_id,Light.Fo,Light.Fm,Light.Yield,Dark.Fo,Dark.Fm,Dark.Yield
20220806,29,1,Porites astreoides,Past-A1,183,277,339,538,852,368
20220806,29,1,Diploria labyrinthiformis,Dlab-B1,273,451,394,380,832,543
20220806,29,1,Madracis decactis,Mdec-B1,335,406,174,737,1077,315
20220806,29,1,Madracis decactis,Mdec-A1,274,365,294,639,1188,462
20220806,29,1,Montastraea cavernosa,Mcav-B1,331,452,267,617,1049,411
20220806,29,1,Diploria labyrinthiformis,Dlab-A1,314,480,345,550,1106,502
20220806,29,1,Montastraea cavernosa,Mcav-A1,184,276,333,520,988,473
20220808,29,2,Madracis decactis,Mdec-D1,223,276,192,180,256,296
20220808,29,2,Montastraea cavernosa,Mcav-C1,244,313,220,199,315,368
20220808,29,2,Porites astreoides,Past-D1,290,405,283,365,570,359
20220808,29,2,Diploria labyrinthiformis,Dlab-D1,241,332,274,269,517,479
20220808,29,2,Porites astreoides,Past-C1,233,290,196,490,698,297
20220808,29,2,Montastraea cavernosa,Mcav-D1,183,240,237,165,306,460
20220808,29,2,Madracis decactis,Mdec-C1,170,214,205,238,313,280
20220808,29,3,Madracis decactis,Mdec-F1,482,771,374,181,382,526
20220808,29,3,Diploria labyrinthiformis,Dlab-F1,168,241,302,161,307,475
20220808,29,3,Porites astreoides,Past-E1,362,462,216,349,494,293
20220808,29,3,Montastraea cavernosa,Mcav-E1,180,238,243,183,298,385
20220808,29,3,Diploria labyrinthiformis,Dlab-E1,176,265,335,161,302,466
20220808,29,3,Porites astreoides,Past-F1,299,476,371,268,439,389
20220808,29,3,Montastraea cavernosa,Mcav-F1,167,227,264,184,369,501
20220808,29,3,Madracis decactis,Mdec-E1,213,307,306,337,503,330
20220809,40,4,Diploria labyrinthiformis,Dlab-B2,435,440,11,319,316,0
20220809,40,4,Porites astreoides,Past-B2,540,534,0,290,291,3
20220809,40,4,Madracis decactis,Mdec-A2,1377,1380,2,479,475,0
20220809,40,4,Montastraea cavernosa,Mcav-A2,1844,1852,4,589,592,5
20220809,40,4,Montastraea cavernosa,Mcav-B2,2677,2706,7,807,810,3
20220809,40,4,Porites astreoides,Past-A2,1335,1352,12,329,328,0
20220809,40,4,Diploria labyrinthiformis,Dlab-A2,2460,2472,4,751,757,7
