"","Species","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h","timepoint"
"1","Diploria labyrinthiformis","Dlab-A1","0",1,-0.000250420883989363,-0.901515182361705,"timepoint1"
"2","Diploria labyrinthiformis","Dlab-A1","143",1,0.000290535941466564,1.04592938927963,"timepoint1"
"3","Diploria labyrinthiformis","Dlab-A1","188",1,0.000412104446921192,1.48357600891629,"timepoint1"
"4","Diploria labyrinthiformis","Dlab-A1","230",1,0.000468890010552229,1.68800403798803,"timepoint1"
"5","Diploria labyrinthiformis","Dlab-A1","270",1,0.000506658837099482,1.82397181355814,"timepoint1"
"6","Diploria labyrinthiformis","Dlab-A1","307",1,0.000534001604167227,1.92240577500202,"timepoint1"
"7","Diploria labyrinthiformis","Dlab-A1","336",1,0.000542275744152189,1.95219267894788,"timepoint1"
"8","Diploria labyrinthiformis","Dlab-A1","360",1,0.000538294817508624,1.93786134303105,"timepoint1"
"9","Diploria labyrinthiformis","Dlab-A1","37",1,-8.00024113124581e-05,-0.288008680724849,"timepoint1"
"10","Diploria labyrinthiformis","Dlab-A1","384",1,0.000548805023223226,1.97569808360362,"timepoint1"
"11","Diploria labyrinthiformis","Dlab-A1","505",1,0.000615749744355023,2.21669907967808,"timepoint1"
"12","Diploria labyrinthiformis","Dlab-A2","0",4,-0.000337128344895262,-1.21366204162294,"timepoint1"
"13","Diploria labyrinthiformis","Dlab-A2","124",4,-0.000134677038998939,-0.48483734039618,"timepoint1"
"14","Diploria labyrinthiformis","Dlab-A2","165",4,-5.92650268376453e-05,-0.213354096615523,"timepoint1"
"15","Diploria labyrinthiformis","Dlab-A2","233",4,-0.000177164443514963,-0.637791996653867,"timepoint1"
"16","Diploria labyrinthiformis","Dlab-A2","289",4,-4.69844743948134e-05,-0.169144107821328,"timepoint1"
"17","Diploria labyrinthiformis","Dlab-A2","32",4,-0.000177058066537386,-0.63740903953459,"timepoint1"
"18","Diploria labyrinthiformis","Dlab-A2","341",4,-6.93188477150621e-05,-0.249547851774224,"timepoint1"
"19","Diploria labyrinthiformis","Dlab-A2","413",4,-5.07958459012889e-05,-0.18286504524464,"timepoint1"
"20","Diploria labyrinthiformis","Dlab-A2","517",4,-0.00010509647733441,-0.378347318403877,"timepoint1"
"21","Diploria labyrinthiformis","Dlab-A3","0",7,-0.000283359988305277,-1.020095957899,"timepoint1"
"22","Diploria labyrinthiformis","Dlab-A3","124",7,4.21844774753939e-05,0.151864118911418,"timepoint1"
"23","Diploria labyrinthiformis","Dlab-A3","165",7,0.000184108558547676,0.662790810771632,"timepoint1"
"24","Diploria labyrinthiformis","Dlab-A3","233",7,0.000295527572451762,1.06389926082634,"timepoint1"
"25","Diploria labyrinthiformis","Dlab-A3","289",7,0.00035486689723228,1.27752083003621,"timepoint1"
"26","Diploria labyrinthiformis","Dlab-A3","32",7,-0.000252387628397814,-0.908595462232129,"timepoint1"
"27","Diploria labyrinthiformis","Dlab-A3","341",7,0.000390719764695068,1.40659115290225,"timepoint1"
"28","Diploria labyrinthiformis","Dlab-A3","413",7,0.000439355679103253,1.58168044477171,"timepoint1"
"29","Diploria labyrinthiformis","Dlab-A3","517",7,0.000455430207694084,1.6395487476987,"timepoint1"
"30","Diploria labyrinthiformis","Dlab-A4","0",13,-6.58727697986808e-05,-0.237141971275251,"timepoint1"
"31","Diploria labyrinthiformis","Dlab-A4","124",13,0.000226164523857054,0.814192285885394,"timepoint1"
"32","Diploria labyrinthiformis","Dlab-A4","165",13,0.000248991760645367,0.896370338323322,"timepoint1"
"33","Diploria labyrinthiformis","Dlab-A4","233",13,0.000266930050751952,0.960948182707026,"timepoint1"
"34","Diploria labyrinthiformis","Dlab-A4","289",13,0.000273328257482582,0.983981726937297,"timepoint1"
"35","Diploria labyrinthiformis","Dlab-A4","32",13,4.46720222439695e-06,0.016081928007829,"timepoint1"
"36","Diploria labyrinthiformis","Dlab-A4","341",13,0.00026556302441469,0.956026887892885,"timepoint1"
"37","Diploria labyrinthiformis","Dlab-A4","413",13,0.000224590031935191,0.808524114966687,"timepoint1"
"38","Diploria labyrinthiformis","Dlab-A4","517",13,0.00025295049957696,0.910621798477057,"timepoint1"
"39","Diploria labyrinthiformis","Dlab-A5","0",11,-0.000125014436939794,-0.450051972983259,"timepoint1"
"40","Diploria labyrinthiformis","Dlab-A5","124",11,0.000117893496623757,0.424416587845524,"timepoint1"
"41","Diploria labyrinthiformis","Dlab-A5","165",11,0.000213164425113236,0.767391930407649,"timepoint1"
"42","Diploria labyrinthiformis","Dlab-A5","233",11,0.000267871194294342,0.964336299459631,"timepoint1"
"43","Diploria labyrinthiformis","Dlab-A5","289",11,0.000289313411226215,1.04152828041437,"timepoint1"
"44","Diploria labyrinthiformis","Dlab-A5","32",11,-2.35005546365505e-05,-0.0846019966915818,"timepoint1"
"45","Diploria labyrinthiformis","Dlab-A5","341",11,0.000303125676142279,1.0912524341122,"timepoint1"
"46","Diploria labyrinthiformis","Dlab-A5","413",11,0.000312881635732978,1.12637388863872,"timepoint1"
"47","Diploria labyrinthiformis","Dlab-A5","517",11,0.000320834788726238,1.15500523941446,"timepoint1"
"48","Diploria labyrinthiformis","Dlab-A6","0",17,0.00011152356700647,0.401484841223292,"timepoint1"
